1.1224 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
24.4035 	EXP 	image: autoDraw = True
24.9543 	EXP 	New trial (rep=2, index=3): {'images': 'images/target.png'}
25.0077 	EXP 	image: autoDraw = False
25.0077 	EXP 	image: image = 'images/target.png'
25.1035 	EXP 	image: autoDraw = True
25.6562 	EXP 	New trial (rep=2, index=4): {'images': 'images/target.png'}
25.7204 	EXP 	image: autoDraw = False
25.7204 	EXP 	image: image = 'images/target.png'
25.8213 	EXP 	image: autoDraw = True
26.3546 	EXP 	New trial (rep=2, index=5): {'images': 'images/target.png'}
26.4163 	EXP 	image: autoDraw = False
26.4163 	EXP 	image: image = 'images/target.png'
26.5049 	EXP 	image: autoDraw = True
27.0544 	EXP 	New trial (rep=2, index=6): {'images': 'images/target.png'}
27.1123 	EXP 	image: autoDraw = False
27.1123 	EXP 	image: image = 'images/target.png'
27.2052 	EXP 	image: autoDraw = True
27.7554 	EXP 	New trial (rep=2, index=7): {'images': 'images/target.png'}
27.8143 	EXP 	image: autoDraw = False
27.8143 	EXP 	image: image = 'images/target.png'
27.9048 	EXP 	image: autoDraw = True
28.4559 	EXP 	New trial (rep=2, index=8): {'images': 'images/target.png'}
28.5185 	EXP 	image: autoDraw = False
28.5185 	EXP 	image: image = 'images/target.png'
28.6037 	EXP 	image: autoDraw = True
29.1550 	EXP 	New trial (rep=2, index=9): {'images': 'images/target.png'}
29.2183 	EXP 	image: autoDraw = False
29.2183 	EXP 	image: image = 'images/target.png'
29.3209 	EXP 	image: autoDraw = True
29.8544 	EXP 	New trial (rep=3, index=0): {'images': 'images/target.png'}
29.9156 	EXP 	image: autoDraw = False
29.9156 	EXP 	image: image = 'images/target.png'
30.0034 	EXP 	image: autoDraw = True
30.5562 	EXP 	New trial (rep=3, index=1): {'images': 'images/target.png'}
30.6210 	EXP 	image: autoDraw = False
30.6210 	EXP 	image: image = 'images/target.png'
30.7217 	EXP 	image: autoDraw = True
31.2561 	EXP 	New trial (rep=3, index=2): {'images': 'images/target.png'}
31.3215 	EXP 	image: autoDraw = False
31.3215 	EXP 	image: image = 'images/target.png'
31.4217 	EXP 	image: autoDraw = True
31.9557 	EXP 	New trial (rep=3, index=3): {'images': 'images/target.png'}
32.0206 	EXP 	image: autoDraw = False
32.0206 	EXP 	image: image = 'images/target.png'
32.1199 	EXP 	image: autoDraw = True
32.6550 	EXP 	New trial (rep=3, index=4): {'images': 'images/target.png'}
32.7187 	EXP 	image: autoDraw = False
32.7187 	EXP 	image: image = 'images/target.png'
