images,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/target.png,0,0,0,0,9.02414543897612,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,0,1,1,1,9.687057718983851,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,0,2,2,2,10.405169587000273,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,0,3,3,3,11.121190654987004,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,0,4,4,4,11.803099784010556,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,0,5,5,5,12.503216911980417,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,0,6,6,6,13.203611822973471,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,0,7,7,7,13.90351793501759,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,0,8,8,8,14.603305417986121,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,0,9,9,9,15.302885102981236,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,1,0,10,0,16.00361629802501,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,1,1,11,1,16.70495031599421,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,1,2,12,2,17.4043601580197,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,1,3,13,3,18.120874130981974,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,1,4,14,4,18.805224344017915,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,1,5,15,5,19.521040731982794,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,1,6,16,6,20.203306632989552,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,1,7,17,7,20.904637294996064,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,1,8,18,8,21.621660462988075,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,1,9,19,9,22.303916427015793,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,2,0,20,0,23.004381855018437,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,2,1,21,1,23.704589703003876,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,2,2,22,2,24.403517645027023,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,2,3,23,3,25.103538387978915,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,2,4,24,4,25.821322816016618,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,2,5,25,5,26.5049269819865,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,2,6,26,6,27.20524351997301,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,2,7,27,7,27.904830868996214,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,2,8,28,8,28.603746431996115,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,2,9,29,9,29.320860222971532,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,3,0,30,0,30.003440198022872,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,3,1,31,1,30.72173892898718,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,3,2,32,2,31.421651687007397,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,3,3,33,3,32.11991094099358,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,3,4,34,4,32.80501325899968,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
images/target.png,3,5,35,5,33.50518589798594,None,,001,2022_Jan_07_1208,Sarah,2021.2.3,59.920334478607295,
